MP URI;HP URI;jaccardSimilarityLabels;jaccardSimilarityDefinitions;jaccardSimilaritySynonyms;sigmoidSimilarityLabels;sigmoidSimilarityDefinitions;sigmoidSimilaritySynonyms;cosineSimilarityLabels;cosineSimilarityDefinitions;cosineSimilaritySynonyms;jaccardSubtree;cosineSubtree;descendantsEvaluation;hasLoop;silverMapping;ourScore
http://purl.obolibrary.org/obo/MP_0011775;http://purl.obolibrary.org/obo/HP_0025023;0.9;0.8;0.533333333;0.499876605;0.166666666;0.124916162;1;0.616313149;0.353553391;1;1;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0003589;http://purl.obolibrary.org/obo/HP_0025634;0.944444444;0.76;0;0.499999959;0.142857141;0;1;0.725018488;0;0;0.253546276;FALSCH;FALSCH;0;4
http://purl.obolibrary.org/obo/MP_0001429;http://purl.obolibrary.org/obo/HP_0001944;0.909090909;0;0.909090909;0.499954602;0;0.499954602;1;0;1;0;0;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0002751;http://purl.obolibrary.org/obo/HP_0012331;0.95;0.642857143;0;0.499999994;0.090909088;0;1;0.34554737;0;0;0.269333119;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0002282;http://purl.obolibrary.org/obo/HP_0002778;0.9375;0.681818182;0.722222222;0.499999694;0.124999924;0.166665913;1;0.471404521;0.288675135;0.028571429;0.563581677;FALSCH;FALSCH;0;4
http://purl.obolibrary.org/obo/MP_0005242;http://purl.obolibrary.org/obo/HP_0001126;0.833333333;0.807692308;0;0.333303068;0.166666666;0;1;0.711111111;0;1;1;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0006296;http://purl.obolibrary.org/obo/HP_0001166;0.909090909;0.583333333;0.294117647;0.499954602;0.09090894;0.075893408;1;0.571428571;0;1;1;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0006362;http://purl.obolibrary.org/obo/HP_0012863;0.933333333;0.695652174;0;0.499999168;0.124999972;0;1;0.338061702;0;0.02;0.664759911;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/MP_0013821;http://purl.obolibrary.org/obo/HP_0009145;0.9375;0.84;0.666666667;0.499999694;0.2;0.142855387;1;0.625704236;0.5;0;0.788379775;FALSCH;FALSCH;2;4
http://purl.obolibrary.org/obo/MP_0011356;http://purl.obolibrary.org/obo/HP_0001920;0.916666667;0.590909091;0.529411765;0.499983299;0.099999548;0.11108369;1;0.25;0.288675135;1;1;FALSCH;FALSCH;4;4
