MP URI;HP URI;jaccardSimilarityLabels;jaccardSimilarityDefinitions;jaccardSimilaritySynonyms;sigmoidSimilarityLabels;sigmoidSimilarityDefinitions;sigmoidSimilaritySynonyms;cosineSimilarityLabels;cosineSimilarityDefinitions;cosineSimilaritySynonyms;jaccardSubtree;cosineSubtree;descendantsEvaluation;hasLoop;silverMapping;ourScore
http://purl.obolibrary.org/obo/HP_0008516;http://purl.obolibrary.org/obo/MP_0004601;0.857142857;0;0.7;0.249999992;0;0.142856905;0.365148372;0;0.23570226;0;0.333333333;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0001681;http://purl.obolibrary.org/obo/MP_0006112;0.307692308;0.692307692;0.923076923;0.096402758;0.111111108;0.499993856;0.707106781;0.223606798;1;1;1;FALSCH;FALSCH;4;3
http://purl.obolibrary.org/obo/HP_0008054;http://purl.obolibrary.org/obo/MP_0006192;0.909090909;0.833333333;0;0.333333332;0.199999999;0;0.816496581;0.716114874;0;0.333333333;0.730296743;FALSCH;FALSCH;2;4
http://purl.obolibrary.org/obo/HP_0001101;http://purl.obolibrary.org/obo/MP_0006229;0.333333333;0.590909091;0;0.107114176;0.099999548;0;0;0.301511345;0;1;1;FALSCH;FALSCH;2;3
http://purl.obolibrary.org/obo/HP_0002251;http://purl.obolibrary.org/obo/MP_0002731;0.727272727;0.481481481;0.666666667;0.249832325;0.066666365;0.19986586;0.707106781;0.306785996;0;0;0.67936622;FALSCH;FALSCH;4;3
http://purl.obolibrary.org/obo/HP_0008048;http://purl.obolibrary.org/obo/MP_0006250;0.8;0.576923077;0.681818182;0.199999955;0.083333282;0.124999924;0.632455532;0.577350269;0;0;0;FALSCH;FALSCH;2;4
http://purl.obolibrary.org/obo/HP_0001920;http://purl.obolibrary.org/obo/MP_0011356;0.916666667;0.590909091;0.071428571;0.499983299;0.099999548;0.033008368;1;0.25;0;1;1;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0011021;http://purl.obolibrary.org/obo/MP_0001570;0.894736842;0;0.6;0.333333306;0;0.111109746;0.670820393;0;0.447213595;0.039215686;0.280379476;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0002006;http://purl.obolibrary.org/obo/MP_0008797;0.888888889;0.625;0.5;0.49966465;0.099999939;0.111036589;1;0.314485451;0;0.095238095;0.71609905;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0001072;http://purl.obolibrary.org/obo/MP_0001200;0.636363636;0.583333333;0;0.19963558;0.09090894;0;0.5;0.267261242;0;0;0;FALSCH;FALSCH;2;3
http://purl.obolibrary.org/obo/HP_0000278;http://purl.obolibrary.org/obo/MP_0004282;0.9;0.580645161;0.4;0.499876605;0.071428569;0.099505475;1;0.282666101;0;0;0;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0045006;http://purl.obolibrary.org/obo/MP_0010194;0.722222222;0.653846154;0;0.166665913;0.099999992;0;0.577350269;0.40824829;0;1;1;FALSCH;FALSCH;4;3
http://purl.obolibrary.org/obo/HP_0008775;http://purl.obolibrary.org/obo/MP_0001158;0.736842105;0.681818182;0.777777778;0.166666389;0.124999924;0.199999667;0.25;0.410391341;0.288675135;0.060606061;0.508881689;WAHR;FALSCH;2;2
http://purl.obolibrary.org/obo/HP_0000121;http://purl.obolibrary.org/obo/MP_0003197;0.916666667;0.818181818;0.352941176;0.499983299;0.199999994;0.082921229;1;0.507833375;0;0;0;FALSCH;FALSCH;4;4
http://purl.obolibrary.org/obo/HP_0000154;http://purl.obolibrary.org/obo/MP_0009881;0.285714286;0.451612903;0;0.087638871;0.055555463;0;0;0.40824829;0;1;1;FALSCH;FALSCH;4;3
http://purl.obolibrary.org/obo/HP_0030971;http://purl.obolibrary.org/obo/MP_0010497;0.8;0;0.666666667;0.199999955;0;0.124999792;0.8;0;0.547722558;1;1;FALSCH;FALSCH;2;4
