MP URI;HP URI;jaccardSimilarity;sigmoidSimilarity;cosineSimilarity;jaccardSubtree;cosineSubtree;descendantsEvaluation;hasLoop;silverMapping;ourScore
http://purl.obolibrary.org/obo/DOID_9074;http://www.orpha.net/ORDO/Orphanet_536;0.9375;0.499999694;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0080194;http://www.orpha.net/ORDO/Orphanet_1358;1;0.999999775;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0111148;http://www.orpha.net/ORDO/Orphanet_1885;0.923076923;0.499993856;1;0;0;0;0;0;4
http://purl.obolibrary.org/obo/DOID_9795;http://www.orpha.net/ORDO/Orphanet_499004;0.933333333;0.499999168;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0110979;http://www.orpha.net/ORDO/Orphanet_498602;1;0.999999388;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_14764;http://www.orpha.net/ORDO/Orphanet_503;1;0.999966597;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070145;http://www.orpha.net/ORDO/Orphanet_64752;0.944444444;0.499999959;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070026;http://www.orpha.net/ORDO/Orphanet_3088;1;0.999987712;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070076;http://www.orpha.net/ORDO/Orphanet_96169;1;0.999999388;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070153;http://www.orpha.net/ORDO/Orphanet_478664;0.944444444;0.499999959;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070142;http://www.orpha.net/ORDO/Orphanet_90348;0.928571429;0.49999774;1;0;0;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0111142;http://www.orpha.net/ORDO/Orphanet_2260;0.916666667;0.499983299;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_9856;http://www.orpha.net/ORDO/Orphanet_499009;0.866666667;0.333331826;1;0;0;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0060340;http://www.orpha.net/ORDO/Orphanet_363250;0.8;0.333109767;1;0;0;1;0;3;3
http://purl.obolibrary.org/obo/DOID_0111167;http://www.orpha.net/ORDO/Orphanet_239;1;0.999999996;1;0;0;1;0;3;3
http://purl.obolibrary.org/obo/DOID_0070161;http://www.orpha.net/ORDO/Orphanet_970;0.944444444;0.499999959;1;0;0;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0080201;http://www.orpha.net/ORDO/Orphanet_709;1;0.999998337;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_4942;http://www.orpha.net/ORDO/Orphanet_529852;0.944444444;0.499999959;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070162;http://www.orpha.net/ORDO/Orphanet_36386;0.944444444;0.499999959;1;0;0;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070111;http://www.orpha.net/ORDO/Orphanet_77292;1;0.999999917;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0111147;http://www.orpha.net/ORDO/Orphanet_86886;0.95;0.499999994;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0080204;http://www.orpha.net/ORDO/Orphanet_93101;0.846153846;0.333322199;1;0;0;1;0;2;3
http://purl.obolibrary.org/obo/DOID_0111152;http://www.orpha.net/ORDO/Orphanet_93686;0.933333333;0.499999168;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0080187;http://www.orpha.net/ORDO/Orphanet_86829;0.9375;0.499999694;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0111161;http://www.orpha.net/ORDO/Orphanet_93262;1;0.999999989;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070151;http://www.orpha.net/ORDO/Orphanet_314381;0.944444444;0.499999959;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0080188;http://www.orpha.net/ORDO/Orphanet_98823;0.9375;0.499999694;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0111160;http://www.orpha.net/ORDO/Orphanet_85164;0.95;0.499999994;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0070149;http://www.orpha.net/ORDO/Orphanet_391397;0.944444444;0.499999959;1;1;1;0;0;0;4
http://purl.obolibrary.org/obo/DOID_0060833;http://www.orpha.net/ORDO/Orphanet_79477;1;0.999999775;1;1;1;0;0;2;4
http://purl.obolibrary.org/obo/DOID_0060832;http://www.orpha.net/ORDO/Orphanet_79476;1;0.999999775;1;1;1;0;0;2;4
http://purl.obolibrary.org/obo/DOID_4624;http://www.orpha.net/ORDO/Orphanet_296;1;0.999753211;1;1;1;0;0;2;4
http://purl.obolibrary.org/obo/DOID_0060834;http://www.orpha.net/ORDO/Orphanet_79478;1;0.999999775;1;1;1;0;0;3;4
http://purl.obolibrary.org/obo/DOID_0050781;http://www.orpha.net/ORDO/Orphanet_276432;1;0.999966597;1;1;1;0;0;3;4
http://purl.obolibrary.org/obo/DOID_0080191;http://www.orpha.net/ORDO/Orphanet_306498;1;0.999999917;1;1;1;0;0;3;4
http://purl.obolibrary.org/obo/DOID_0111157;http://www.orpha.net/ORDO/Orphanet_160;1;0.999966597;1;0;0;1;0;3;3
http://purl.obolibrary.org/obo/DOID_0050434;http://www.orpha.net/ORDO/Orphanet_37553;1;0.999999775;1;1;1;0;0;3;4
http://purl.obolibrary.org/obo/DOID_12385;http://www.orpha.net/ORDO/Orphanet_810;0.875;0.499088949;1;1;1;0;0;4;4
http://purl.obolibrary.org/obo/DOID_0060473;http://www.orpha.net/ORDO/Orphanet_2322;1;0.999999388;1;1;1;0;0;4;4
http://purl.obolibrary.org/obo/DOID_853;http://www.orpha.net/ORDO/Orphanet_93569;0.875;0.333332779;1;1;1;0;0;4;4
http://purl.obolibrary.org/obo/DOID_4697;http://www.orpha.net/ORDO/Orphanet_85102;0.8;0.333109767;1;0;0;1;0;4;3
http://purl.obolibrary.org/obo/DOID_12241;http://www.orpha.net/ORDO/Orphanet_848;0.666666667;0.19986586;0;1;1;0;0;4;3
